source,target,version,fromRole,toRole
k9.mail.internet.MimeBodyPart,k9.mail.Multipart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Structurer
k9.mail.internet.MimeBodyPart,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.internet.MimeBodyPart,k9.mail.internet.MimeHeader,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Structurer
k9.mail.internet.MimeBodyPart,k9.mail.internet.MimeMessageHelper,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.internet.MimeBodyPart,k9.mail.internet.MimeUtility,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.internet.MimeHeader,k9.mail.internet.EncoderUtil,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.internet.MimeHeader,k9.mail.internet.MimeUtility,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.internet.MimeMessage,k9.mail.Address,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.MimeMessage,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.MimeMessage,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Structurer
k9.mail.internet.MimeMessage,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Information Holder
k9.mail.internet.MimeMessage,k9.mail.Multipart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Structurer
k9.mail.internet.MimeMessage,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.MimeMessage,k9.mail.internet.CharsetSupport,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.MimeMessage,k9.mail.internet.MimeBodyPart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Structurer
k9.mail.internet.MimeMessage,k9.mail.internet.MimeHeader,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Structurer
k9.mail.internet.MimeMessage,k9.mail.internet.MimeUtility,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.internet.MimeMessage,k9.mail.internet.TextBody,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Information Holder
k9.mail.internet.MimeMessageHelper,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MimeMessageHelper,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MimeMessageHelper,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MimeMultipart,k9.mail.BodyPart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Information Holder
k9.mail.internet.MimeMultipart,k9.mail.BoundaryGenerator,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Service Provider
k9.mail.internet.MimeMultipart,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Information Holder
k9.mail.internet.MimeMultipart,k9.mail.Multipart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Structurer
k9.mail.internet.MimeUtility,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MimeUtility,k9.mail.BodyPart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MimeUtility,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.MimeUtility,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MimeUtility,k9.mail.Multipart,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.internet.MimeUtility,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.MimeUtility,k9.mail.internet.BinaryTempFileBody,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.internet.MimeUtility,k9.mail.internet.DecoderUtil,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.RawDataBody,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.internet.TextBody,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Information Holder,Service Provider
